chapter_ID	end_ID
78003	78003060
78004	78004061
78005	78005068
78006	78006063
78007	78007050
78008	78008032
78009	78009073
78010	78010089
78011	78011074
78012	78012053
78013	78013053
78014	78014049
78015	78015041
78016	78016024
79001	79001036
79002	79002032
79003	79003040
79004	79004050
79005	79005027
79006	79006031
79007	79007042
79008	79008036
79009	79009029
79010	79010038
79011	79011038
79012	79012045
79013	79013026
79014	79014046
79015	79015039
82001	82001058
82002	82002030
82003	82003024
82004	82004063
82005	82005073
82006	82006034
82007	82007015
82008	82008096
82009	82009055
84001	84001015
85001	85001007
80001	80001029
80002	80002033
80003	80003030
80004	80004021
80005	80005051
80006	80006041
80007	80007023
83001	83001040
83002	83002048
83003	83003036
83004	83004052
83005	83005056
83006	83006059
83007	83007140
83008	83008063
83009	83009047
83010	83010059
83011	83011046
83012	83012051
83013	83013058
83014	83014048
83015	83015063
83016	83016078
81001	81001035
81002	81002024
81003	81003021
81004	81004026
81005	81005038
81006	81006035
81007	81007023
81008	81008029
81009	81009032
81010	81010021
81011	81011027
81012	81012019
81013	81013027
81014	81014020
81015	81015032
81016	81016025
81017	81017024
81018	81018024
86001	86001019
86002	86002043
86003	86003011
86004	86004019
86005	86005020
86006	86006018
86007	86007045
86008	86008088
86009	86009079
86010	86010009
86011	86011024
86012	86012015
86013	86013032
86014	86014046
86015	86015010
86016	86016020
86017	86017017
86018	86018016
86019	86019011
86020	86020010
86021	86021009
86022	86022012
86023	86023022
86024	86024014
86025	86025012
86026	86026013
86027	86027003
86028	86028020
86029	86029011
86030	86030007
86031	86031013
86032	86032003
86033	86033013
86034	86034006
86035	86035007
86036	86036008
86037	86037004
86038	86038022
86039	86039013
86040	86040006
86041	86041016
86042	86042020
87001	87001008
87002	87002037
87003	87003012
87004	87004025
87005	87005019
87006	87006006
87007	87007010
87008	87008034
87009	87009011
87010	87010008
87011	87011009
87012	87012006
87013	87013012
87014	87014010
87015	87015013
87016	87016015
87017	87017046
87018	87018012
C3001	C3001019
40001	40001025
40002	40002023
40003	40003017
40004	40004025
40005	40005048
40006	40006034
40007	40007029
40008	40008034
40009	40009038
40010	40010042
40011	40011030
40012	40012050
40013	40013058
40014	40014036
40015	40015039
40016	40016028
40017	40017027
40018	40018035
40019	40019030
40020	40020034
40021	40021046
40022	40022046
40023	40023039
40024	40024051
40025	40025046
40026	40026075
40027	40027066
40028	40028020
41001	41001045
41002	41002028
41003	41003035
41004	41004041
41005	41005043
41006	41006056
41007	41007037
41008	41008038
41009	41009050
41010	41010052
41011	41011033
41012	41012044
41013	41013037
41014	41014072
41015	41015047
41016	41016020
42001	42001080
42002	42002052
42003	42003038
42004	42004044
42005	42005039
42006	42006049
42007	42007050
42008	42008056
