startid	endid	title
12007016	12007020	Prophecy Fulfilled
12008001	12008015	Joram Restores the Shunammite’s Land
12008016	12008024	Joram Reigns in Judah
12008025	12008029	Ahaziah Succeeds Joram in Judah
12009001	12009010	Jehu Anointed Prophetically to Rule in Place of Joram of Israel
12009011	12009026	Jehu Assassinates Joram
12009027	12009029	Jehu Orders the Assassination of Ahaziah
12009030	12009037	Jezebel Loses Her High Position
12010001	12010017	Jehu Continues Purging the House of Ahab
12010018	12010036	Jehu Purges the Baal Worshipers
12011001	12011021	Athaliah Usurps the Throne in Judah
12012001	12012003	Jehoash/Joash Reigns in Judah
12012004	12012016	Temple Repairs Planned
12012017	12012021	Hazael Threatens Judah
12013001	12013013	Jehoahaz and Jehoash in Israel
12013014	12013025	Elisha Passes Away
12014001	12014016	Amaziah Reigns in Judah; Jeroboam II in Israel
12014017	12014029	Azariah Succeeds Amaziah in Jerusalem; Zechariah Succeeds Jeroboam II in Samaria
12015001	12015007	The Acts of Azariah (Uzziah) in Judah
12015008	12015012	Zechariah in Israel
12015013	12015016	Shallum Reigns only a Month in Israel
12015017	12015022	Menahem Reigns in Israel
12015023	12015026	Pekahiah Reigns in Israel
12015027	12015031	Pekah Reigns in Israel
12015032	12015038	Jotham Reigns in Judah
12016001	12016009	Ahaz Reigns in Judah and Seeks Help against the Assyrians
12016010	12016020	Damascus Falls to the Assyrians
12017001	12017005	Hoshea Reigns in Israel
12017006	12017023	Israel Deported to Assyria and the Reasons It Fell
12017024	12017041	Israel Repopulated with Foreign Captives
12018001	12018012	Hezekiah Reigns in Judah
12018013	12018018	Sennacherib of Assyria Invades Judah
12018019	12018037	Assyrians Advise against Trust in Yahweh
12019001	12019007	Isaiah Sends Encouragement to Hezekiah
12019008	12019013	The Assyrians Defy God
12019014	12019019	Hezekiah Prays to Yahweh
12019020	12019034	Isaiah Brings a Prophetic Response
12019035	12019037	An Angel Neutralizes the Assyrian Army
12020001	12020011	Hezekiah Loses Health and Regains It through Prayer
12020012	12020021	Hezekiah Reveals Too Much to a Babylonian Envoy
12021001	12021009	Evil Manasseh Reigns after Godly Hezekiah
12021010	12021018	Yahweh Sends a Rebuke to Manasseh
12021019	12021026	Amon Reigns in Judah Only Two Years
12022001	12022007	Josiah Becomes King in Judah
12022008	12022013	A Scroll of the Torah Discovered in the Temple
12022014	12022020	The Prophetess Huldah Predicts Doom for Judah
12023001	12023020	Josiah’s Covenantal Reforms
12023021	12023030	Passover Renewed
12023031	12023033	Jehoahaz Reigns in Judah
12023034	12023037	Jehoiakim Replaces Jehoahaz
12024001	12024007	First Invasion of Nebuchadnezzar; Jehoiakim Submits
12024008	12024009	Jehoichin Succeeds Jehoiakim
12024010	12024017	Second Invasion of Nebuchadnezzar
12024018	12024020	Zedekiah Replaces Jehoiachin
12025001	12025007	The Final Invasion of Nebuchadnezzar
12025008	12025012	Jerusalem Is Sacked and the Temple Burned
12025013	12025021	Plunder Taken by the Chaldeans
12025022	12025026	Gedaliah Appointed Governor
12025027	12025030	Elderly Jehoiachin Cared for in Babylon
13001001	13001054	From Adam to Abraham
13002001	13002055	The Genealogy of David
13003001	13003024	The Descendants of David
13004001	13004023	The Descendants of David
13004024	13004043	Descendants of Simeon
13005001	13005010	The Descendants of Reuben
13005011	13005022	The Descendants of Gad
13005023	13006015	The Half-Tribe of Manasseh
13006016	13006030	The Descendants of Levi
13006031	13006049	David’s Appointees for Music in the Temple
13006050	13006081	The Descendants of Aaron
13007001	13007005	The Descendants of Issachar
13007006	13007012	The Descendants of Benjamin
13007013	13007013	The Descendants of Naphtali
13007014	13007019	The Descendants of Manasseh
13007020	13007029	The Descendants of Ephraim
13007030	13007040	The Descendants of Asher
13008001	13008040	The Genealogy of Saul
13009001	13009034	The Genealogy of Returned Exiles
13009035	13009044	Saul’s Genealogy Repeated
13010001	13010014	The Death of Saul and His Sons
13011001	13011009	The Anointing of David as King
13011010	13011047	David’s Mighty Men
13012001	13012040	David and His Mighty Men at Ziklag
